# X [m]   Y [m]   Z [m]
612.030510512     1607.17357533     2167.74751307
1101.67055929     1708.42881043     2167.97549573
1591.31060807     1809.68404552     2175.53351895
2080.95065684     1910.93928061     2186.66384255
2570.59070562     2012.1945157     2214.17511809
-1937.42496847     1590.53744866     2128.21943733
-958.144870911     1793.04791884     2148.33963247
21.1352266442     1995.55838902     2156.2163468
1000.4153242     2198.0688592     2183.29665248
1979.69542175     2400.57932938     2204.9646596
-2528.32025233     1978.92226235     2177.56337306
-2038.68020356     2080.17749744     2147.28534904
-1549.04015478     2181.43273253     2134.91397705
-1059.400106     2282.68796762     2145.59466871
-569.760057224     2383.94320271     2150.79696988
-80.1200084464     2485.1984378     2173.60099484
409.520040331     2586.45367289     2171.66198083
899.160089108     2687.70890798     2183.4675413
1388.80013789     2788.96414307     2202.17295398
1878.44018666     2890.21937816     2202.47017126
