# X [m]   Y [m]   Z [m]
-1746.08046593     -703.071307878     2105.98634211
-1266.74903794     -560.799096434     2115.84939596
-787.417609963     -418.52688499     2108.15010869
-308.086181982     -276.254673545     2112.00784456
171.245246     -133.982462101     2142.38262559
650.576673981     8.28974934331     2183.52325755
1129.90810196     150.561960788     2190.69499331
1609.23952994     292.834172232     2184.37027835
2088.57095793     435.106383676     2221.05208127
2567.90238591     577.378595121     2274.11237468
3047.23381389     719.650806565     2272.3291477
-1409.02124939     -81.4676684526     2117.70201692
-450.358393426     203.076754436     2123.23468336
508.304462537     487.621177325     2140.22052012
1466.9673185     772.165600213     2185.82981618
2425.63017446     1056.7100231     2245.4246138
-2030.62488881     255.591548085     2113.28527458
-1551.29346083     397.863759529     2116.37115938
-1071.96203285     540.135970973     2132.30851061
-592.63060487     682.408182418     2129.05625063
-113.299176889     824.680393862     2145.11177757
366.032251093     966.952605306     2152.56160355
845.363679074     1109.22481675     2157.69762639
1324.69510706     1251.49702819     2147.68596991
1804.02653504     1393.76923964     2200.61282853
2283.35796302     1536.04145108     2217.40655227
2762.689391     1678.31366253     2274.60563386
-1693.56567228     877.19518751     2120.46449375
-734.902816315     1161.7396104     2150.68570407
223.760039648     1446.28403329     2160.46139014
1182.42289561     1730.82845618     2163.86749382
2141.08575157     2015.37287907     2196.53675357
-2315.1693117     1214.25440405     2115.47155626
-1835.83788372     1356.52661549     2135.14156449
-1356.50645574     1498.79882694     2140.94557699
-877.175027759     1641.07103838     2158.12355285
-397.843599778     1783.34324982     2169.27205875
81.4878282039     1925.61546127     2154.94965513
560.819256185     2067.88767271     2180.57292593
1040.15068417     2210.15988416     2187.0976483
1519.48211215     2352.4320956     2183.03402588
1998.81354013     2494.70430705     2198.54930566
2478.14496811     2636.97651849     2236.35640682
-1978.11009517     1835.85804347     2131.62148948
-1019.4472392     2120.40246636     2153.85847629
-60.7843832404     2404.94688925     2170.47315791
897.878472723     2689.49131214     2183.68977333
1856.54132869     2974.03573503     2208.15169986
-2599.71373459     2172.91726001     2202.78672266
-2120.38230661     2315.18947145     2193.50532752
-1641.05087863     2457.4616829     2162.12050802
-1161.71945065     2599.73389434     2145.07275927
-682.388022666     2742.00610579     2159.0085042
-203.056594685     2884.27831723     2164.26671267
276.274833297     3026.55052868     2177.79751899
755.606261278     3168.82274012     2186.71461963
1234.93768926     3311.09495157     2196.58656918
1714.26911724     3453.36716301     2218.59916295
2193.60054522     3595.63937445     2227.7219458
-2262.65451805     2794.52089944     2221.10631601
-1303.99166209     3079.06532232     2190.2503626
-345.328806129     3363.60974521     2167.40519687
613.334049834     3648.1541681     2204.18424499
1571.9969058     3932.69859099     2213.0266008
-139.556573713     34.5471461675     2111.67527389
100.109140278     105.68325189     2111.25450611
339.774854268     176.819357612     2141.66164399
579.440568259     247.955463334     2145.3871072
819.10628225     319.091569056     2157.26024893
1058.77199624     390.227674778     2192.92442822
1298.43771023     461.363780501     2155.19535467
-210.692679435     274.212860158     2131.47038804
268.638748546     416.485071603     2133.99008568
747.970176528     558.757283047     2153.32503719
1227.30160451     701.029494491     2170.94372724
-281.828785157     513.878574149     2137.67881083
-42.1630711667     585.014679871     2140.91158671
197.502642824     656.150785593     2139.6452624
437.168356815     727.286891315     2142.19353463
676.834070806     798.422997038     2137.6256604
916.499784796     869.55910276     2151.05483168
1156.16549879     940.695208482     2175.99295058
-352.96489088     753.54428814     2134.71977017
126.366537102     895.816499584     2148.29042511
605.697965083     1038.08871103     2152.57895408
1085.02939306     1180.36092247     2153.28217711
-424.100996602     993.21000213     2139.84077401
-184.435282611     1064.34610785     2151.54661342
55.2304313797     1135.48221357     2154.95224555
294.89614537     1206.6183193     2150.03641675
534.561859361     1277.75442502     2162.79390484
774.227573352     1348.89053074     2162.98513253
1013.89328734     1420.02663646     2157.69476318
-495.237102324     1232.87571612     2149.13770325
-15.9056743424     1375.14792757     2159.61078774
463.425753639     1517.42013901     2167.33655409
942.75718162     1659.69235045     2174.80570989
-566.373208046     1472.54143011     2150.80657187
-326.707494055     1543.67753583     2155.99745999
-87.0417800646     1614.81364156     2149.18032043
152.623933926     1685.94974728     2170.24786679
392.289647917     1757.085853     2166.10065617
631.955361908     1828.22195872     2178.95468531
871.621075898     1899.35806444     2179.69050064
